Transaction_ID,Date,Stock_Symbol,Sector,Transaction_Type,Quantity,Price_Per_Share,Gross_Value,Brokerage,STT,Net_Value,Broker,Exchange,Currency
TXN00001,17-08-2023,TCS,IT,BUY,36,3344.26,120393.36,36.12,120.39,120549.87,Groww,NSE,INR
TXN00002,08-03-2024,TCS,IT,BUY,70,4106.74,287471.8,86.24,287.47,287845.51,Zerodha,NSE,INR
TXN00003,23-07-2023,RELIANCE,Energy,BUY,30,2458.7,73761,22.13,73.76,73856.89,HDFC Sec,NSE,INR
TXN00004,07-01-2023,BAJFINANCE,Finance,SELL,76,6504.54,494345.04,148.3,494.35,493702.39,Groww,NSE,INR
TXN00005,11-12-2023,BAJFINANCE,Finance,BUY,20,6759.73,135194.6,40.56,135.19,135370.35,Zerodha,NSE,INR
TXN00006,28-09-2023,TCS,IT,SELL,46,3759.51,172937.46,51.88,172.94,172712.64,Zerodha,NSE,INR
TXN00007,28-10-2023,SBIN,Banking,BUY,49,818.8,40121.2,12.04,40.12,40173.36,HDFC Sec,NSE,INR
TXN00008,16-02-2023,ICICIBANK,Banking,BUY,91,1258.54,114527.14,34.36,114.53,114676.03,Groww,NSE,INR
TXN00009,25-01-2024,WIPRO,IT,BUY,30,584.24,17527.2,5.26,17.53,17549.99,Upstox,NSE,INR
TXN00010,15-01-2024,SBIN,Banking,BUY,47,842.97,39619.59,11.89,39.62,39671.1,Upstox,NSE,INR
TXN00011,25-06-2023,HDFCBANK,Banking,BUY,90,1702.71,153243.9,45.97,153.24,153443.11,HDFC Sec,NSE,INR
TXN00012,13-08-2023,HDFCBANK,Banking,SELL,49,1456.41,71364.09,21.41,71.36,71271.32,Upstox,NSE,INR
TXN00013,15-02-2024,RELIANCE,Energy,SELL,5,2572.4,12862,3.86,12.86,12845.28,Upstox,NSE,INR
TXN00014,06-08-2023,TCS,IT,SELL,73,3561.85,260015.05,78,260.02,259677.03,Angel One,NSE,INR
TXN00015,27-05-2023,BAJFINANCE,Finance,SELL,83,7919.38,657308.54,197.19,657.31,656454.04,Upstox,NSE,INR
TXN00016,14-03-2024,INFY,IT,SELL,72,1616.98,116422.56,34.93,116.42,116271.21,HDFC Sec,NSE,INR
TXN00017,04-04-2023,BAJFINANCE,Finance,SELL,18,6806.05,122508.9,36.75,122.51,122349.64,Zerodha,NSE,INR
TXN00018,07-03-2023,TCS,IT,SELL,21,3493.82,73370.22,22.01,73.37,73274.84,Angel One,NSE,INR
